Track name, Artist name, Album, Playlist name, Type, ISRC
All I Want,Jay Sean,The Mistress II,Top 100 R&B Tracks on Spotify,Playlist track,USLD90810252
Zipper,Jason Derulo,Talk Dirty,Top 100 R&B Tracks on Spotify,Playlist track,USWB11400676
Like This,Ledisi,The Truth,Top 100 R&B Tracks on Spotify,Playlist track,USUM71318044
Lie Under You,KeKe Wyatt,Ke'Ke',Top 100 R&B Tracks on Spotify,Playlist track,TCABX1403828
Distance,Emily King,Distance,Top 100 R&B Tracks on Spotify,Playlist track,TCABT1484261
Early In The Morning (feat. French Montana),Ashanti,Braveheart,Top 100 R&B Tracks on Spotify,Playlist track,USKO11400101
We Can Make Love,SoMo,SoMo,Top 100 R&B Tracks on Spotify,Playlist track,USUM71401400
It's Your World,Jennifer Hudson,JHUD,Top 100 R&B Tracks on Spotify,Playlist track,USRC11400985
Promises,Monophonics,Promises,Top 100 R&B Tracks on Spotify,Playlist track,QM6MZ1482323
Losing Sleep,Boyz II Men,Collide,Top 100 R&B Tracks on Spotify,Playlist track,QMRSZ1401359
F**k It All,Elle Varner,F**k It All,Top 100 R&B Tracks on Spotify,Playlist track,USRC11400940
If You Lose Her,Joe,Bridges,Top 100 R&B Tracks on Spotify,Playlist track,QMRSZ1401097
Dancing In The Dark,Luke James,Luke James,Top 100 R&B Tracks on Spotify,Playlist track,USUM71411829
Hey Boy (feat. Snoop Dogg),Goapele,Hey Boy (feat. Snoop Dogg),Top 100 R&B Tracks on Spotify,Playlist track,QMRSZ1401362
First Time,Macy Gray,The Way,Top 100 R&B Tracks on Spotify,Playlist track,GBWWP1400466
A-List (feat. Waka Flocka Flame),Sisqo,Last Dragon,Top 100 R&B Tracks on Spotify,Playlist track,USLJ91400011
Run,Marsha Ambrosius,Friends & Lovers,Top 100 R&B Tracks on Spotify,Playlist track,USRC11400563
I Deserve It (feat. Missy Elliott & Sharaya J),Faith Evans,Incomparable,Top 100 R&B Tracks on Spotify,Playlist track,QMRSZ1401203
Heartbreak Heard Around the World (feat. T-Pain),Jacob Latimore,Heartbreak Heard Around the World (feat. T-Pain),Top 100 R&B Tracks on Spotify,Playlist track,USRC11400983
Ain't My Fault,Jamie Foxx,Ain't My Fault,Top 100 R&B Tracks on Spotify,Playlist track,USRC11402157
Plain,Jesse Boykins III,Love Apparatus,Top 100 R&B Tracks on Spotify,Playlist track,USUYG1043654
Call My Name,Avery*Sunshine,The SunRoom,Top 100 R&B Tracks on Spotify,Playlist track,USBUU1300102
Hope,Jagged Edge,JE Heartbreak II,Top 100 R&B Tracks on Spotify,Playlist track,QMRSZ1401163
Show Me (feat. Jeremih),Omarion,Sex Playlist,Top 100 R&B Tracks on Spotify,Playlist track,USAT21405097
Dedicated,Mariah Carey,Me. I Am Mariah…The Elusive Chanteuse (Deluxe),Top 100 R&B Tracks on Spotify,Playlist track,USUM71405980
Bet (feat. Devonté Hynes),Tinashe,Bet (feat. Devonté Hynes),Top 100 R&B Tracks on Spotify,Playlist track,USRC11401893
What Kind of Cool (QuestLove Remix),Cody Chesnutt,Landing on A Hundred: B Sides and Remixes,Top 100 R&B Tracks on Spotify,Playlist track,USA2B1400317
